D,S,Exact Match,Hierarchy
Chambres_d'agriculture,agriculture,No,World/Français/Commerce_et_économie/Agriculture_et_foresterie/Associations/Chambres_d'agriculture
Chambres_d'agriculture,agriculture,No,World/Français/Régional/Europe/France/Commerce_et_économie/Agriculture_et_foresterie/Associations/Chambres_d'agriculture
Chambres_d'agriculture,agriculture,No,World/Français/Régional/Europe/France/Commerce_et_économie/Agriculture_et_foresterie/Associations/Chambres_d'agriculture/Départementales
Education," Education",Yes,Arts/Architecture/Education
Training,Training,Yes,Arts/Animation/Training
Health,Health,Yes,Adult/Society/Advice/Health
Resources,Natural Resources,No,Adult/Arts/Animation/Anime/Resources
Resources,Natural Resources,No,Adult/Arts/Comics/Resources
Resources,Natural Resources,No,Adult/Arts/Photography/Resources
Resources,Natural Resources,No,Adult/Arts/Visual_Arts/Resources
Resources,Natural Resources,No,Adult/Computers/Internet/Web_Design_and_Development/Webmaster_Resources/Affiliate_Programs/Resources
Resources,Natural Resources,No,Adult/Society/Sexuality/Activities_and_Practices/BDSM/Resources
Resources,Natural Resources,No,Arts/Animation/Anime/Resources
Resources,Natural Resources,No,Arts/Animation/Anime/Resources/Databases
Resources,Natural Resources,No,Arts/Animation/Anime/Resources/Directories
Resources,Natural Resources,No,Arts/Animation/Anime/Titles/D/Dragon_Ball_Series/Dragon_Ball_Z/Resources
Resources,Natural Resources,No,Arts/Animation/Cartoons/Titles/A/Animaniacs/Resources
Resources,Natural Resources,No,Arts/Animation/Cartoons/Titles/P/Pinky_and_The_Brain/Resources
Resources,Natural Resources,No,Arts/Animation/Cartoons/Titles/S/South_Park/Resources
Resources,Natural Resources,No,Arts/Animation/Cartoons/Titles/T/Tiny_Toon_Adventures/Resources
Resources,Natural Resources,No,Arts/Animation/Voice_Actors/Resources
Resources,Natural Resources,No,Arts/Animation/Voice_Actors/Resources/Databases_and_Casting_Services
Resources,Natural Resources,No,"Arts/Animation/Voice_Actors/Resources/FAQs,_Help,_and_Tutorials"
Resources,Natural Resources,No,Arts/Comics/Resources
Resources,Natural Resources,No,Arts/Comics/Resources/Collecting
Resources,Natural Resources,No,Arts/Comics/Resources/Creating
Resources,Natural Resources,No,Arts/Comics/Resources/Research_and_Academia
Resources,Natural Resources,No,Arts/Comics/Resources/Research_and_Academia/Bibliography
Resources,Natural Resources,No,Arts/Comics/Titles/E/Elfquest/Resources
Resources,Natural Resources,No,Arts/Crafts/Jewelry/Beads/Resources
Resources,Natural Resources,No,Arts/Digital/Resources
Resources,Natural Resources,No,Arts/Entertainment/Resources
Resources,Natural Resources,No,Arts/Genres/Horror/Vampires/Resources
Resources,Natural Resources,No,Arts/Genres/Horror/Vampires/Resources/Directories
Resources,Natural Resources,No,Arts/Genres/Horror/Vampires/Resources/Mythology
Resources,Natural Resources,No,Arts/Graphic_Design/Resources
